_id,中标时间,项目名称,中标金额(万元),中标公司,城市,中标年份,中标月份
6523fe16e56a2f842023c075,2022-05-19,陶然亭公园北部广场生态景观提升工程,392.0,北京绿京华生态园林股份有限公司,北京,2022,5
6523fe16e56a2f842023c076,2022-05-19,水利工程日常维修养护费—潮白河牛栏山桥以上段绿化维护及河道保洁,564.0,北京润丰园林绿化工程有限公司,北京,2022,5
6523fe16e56a2f842023c077,2022-05-18,顺义新城（马坡组团）郊野公园提升工程,421.0,北京绿茵大地园林绿化工程有限公司,北京,2022,5
6523fe16e56a2f842023c078,2022-05-18,延庆区张山营镇2022年平原重点区域造林绿化工程,1481.0,北京爱地生态环境有限公司,北京,2022,5
6523fe16e56a2f842023c079,2022-05-18,朝阳区2022年度杨柳飞絮防治项目（第1包）,195.0,北京京生园园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c07a,2022-05-18,2022年城市副中心道路立体花箱布设项目,459.0,北京圣润华晔园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c07b,2022-05-18,2022年园区应急保障项目,99.0,北京朝园弘园林绿化有限责任公司,北京,2022,5
6523fe16e56a2f842023c07c,2022-05-17,丰台区大井公园建设工程,4309.0,北京金诚园林绿化工程有限公司,北京,2022,5
6523fe16e56a2f842023c07d,2022-05-17,大兴区2022年黄村镇临时绿化建设工程三标段,844.0,北京日出枫林园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c07e,2022-05-17,大兴区2022年黄村镇临时绿化建设工程七标段,779.0,北京山水之光园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c07f,2022-05-17,大兴区2022年黄村镇临时绿化建设工程五标段,797.0,北京国丰建业建筑工程有限公司,北京,2022,5
6523fe16e56a2f842023c080,2022-05-17,古树日常管护,108.0,北京运运通园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c081,2022-05-17,门头沟区雁翅镇2022年“留白增绿”项目,131.0,北京路桥诺亚方舟园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c082,2022-05-17,2021年全龄友好公园改造工程（和谐广场）,118.0,北京四季景艺园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c083,2022-05-17,密云区2021-2035年林地保护利用规划编制项目,148.0,北京顺天意环境科技有限公司,北京,2022,5
6523fe16e56a2f842023c084,2022-05-16,大兴区2022年黄村镇临时绿化建设工程六标段,888.0,北京兴顺通园林绿化工程有限公司,北京,2022,5
6523fe16e56a2f842023c085,2022-05-16,通州区 2022 年永乐店镇平原重点区域造林绿化工程（施工）一标段,3539.0,北京路桥诺亚方舟园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c086,2022-05-16,通州区 2022 年永乐店镇平原重点区域造林绿化工程（施工）二标段,3394.0,北京京彩弘景园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c087,2022-05-16,北京市大兴区黄村镇三间房村土地整治项目,2914.0,北京亦庄新城园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c088,2022-05-16,大兴区2022年黄村镇临时绿化建设工程二标段,1170.0,北京奥邦建筑工程有限公司,北京,2022,5
6523fe16e56a2f842023c089,2022-05-16,大兴区2022年黄村镇临时绿化建设工程八标段,1963.0,北京天恒建设集团有限公司,北京,2022,5
